City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Springbok,ZA,2022-03-08 00:12:22,-29.6643,17.8865,70.57,39,55,3.98
131,Koutsouras,GR,2022-03-08 00:12:23,35.0339,25.9469,53.11,76,64,5.68
132,Oriximina,BR,2022-03-08 00:09:12,-1.7656,-55.8661,73.9,93,99,1.63
133,Cabedelo,BR,2022-03-08 00:13:24,-6.9811,-34.8339,80.02,75,58,8.79
134,Vestmannaeyjar,IS,2022-03-08 00:13:24,63.4427,-20.2734,34.79,93,75,17.27
135,Rulenge,TZ,2022-03-08 00:13:25,-2.7175,30.6325,60.04,96,20,2.59
136,Bethel,US,2022-03-08 00:12:54,41.3712,-73.414,63.75,83,40,17.6
137,Guerrero Negro,MX,2022-03-08 00:13:25,27.9769,-114.0611,63.48,52,38,15.39
138,Lahij,YE,2022-03-08 00:13:26,13.1667,44.5833,66.16,68,8,5.5
139,Komsomolskiy,UZ,2022-03-08 00:13:26,40.4272,71.7189,44.02,80,100,2.35
140,Vardo,NO,2022-03-08 00:13:27,70.3705,31.1107,24.21,91,100,25.1
141,Askino,RU,2022-03-08 00:13:27,56.0901,56.5783,-18.45,100,93,1.7
142,Hami,CN,2022-03-08 00:13:27,42.8,93.45,43.65,32,65,5.03
143,Namtsy,RU,2022-03-08 00:13:28,62.7161,129.6658,-5.69,95,100,3.67
144,Mount Gambier,AU,2022-03-08 00:13:28,-37.8333,140.7667,62.83,63,87,15.19
145,Tuatapere,NZ,2022-03-08 00:13:29,-46.1333,167.6833,76.82,55,31,6.04
146,Nikolskoye,RU,2022-03-08 00:13:29,59.7035,30.7861,13.89,100,76,2.53
147,Poum,NC,2022-03-08 00:13:30,-20.2333,164.0167,81.01,74,49,3.94
148,Lagoa,PT,2022-03-08 00:13:30,39.05,-27.9833,57.9,59,61,21.07
149,Teya,RU,2022-03-08 00:13:30,60.3778,92.6267,27.43,93,100,12.26
150,Basoko,CD,2022-03-08 00:13:31,1.2391,23.616,72.68,92,56,4.47
151,Mana,GF,2022-03-08 00:13:31,5.6592,-53.7767,76.06,90,100,10.27
152,Tromso,NO,2022-03-08 00:13:32,69.6496,18.957,32.02,80,75,12.66
153,Torbay,CA,2022-03-08 00:13:32,47.6666,-52.7314,29.57,91,100,3.0
154,Port Hawkesbury,CA,2022-03-08 00:13:33,45.6169,-61.3485,34.92,90,100,3.44
155,Bam,IR,2022-03-08 00:13:33,29.106,58.357,64.8,35,83,6.49
156,Talisay,PH,2022-03-08 00:13:34,10.2447,123.8494,79.25,82,100,5.95
157,Teluk Nibung,ID,2022-03-08 00:13:34,3.001,99.8164,73.6,96,100,2.91
158,Haines Junction,CA,2022-03-08 00:13:35,60.7522,-137.5108,23.7,80,29,0.4
159,Soyo,AO,2022-03-08 00:13:35,-6.1349,12.3689,80.49,81,88,6.53
160,Tshikapa,CD,2022-03-08 00:13:36,-6.4167,20.8,70.72,91,100,2.44
161,Zhigansk,RU,2022-03-08 00:13:36,66.7697,123.3711,-14.87,91,43,12.39
162,Honningsvag,NO,2022-03-08 00:13:37,70.9821,25.9704,37.09,63,93,20.27
163,Takatsuki,JP,2022-03-08 00:13:37,34.8483,135.6168,43.52,66,3,4.61
164,Dimitrovgrad,RU,2022-03-08 00:13:38,54.2139,49.6184,13.57,95,99,6.11
165,Kahului,US,2022-03-08 00:13:38,20.8947,-156.47,83.46,51,20,13.8
166,Georgetown,MY,2022-03-08 00:11:29,5.4112,100.3354,78.73,89,40,4.61
167,Kirakira,SB,2022-03-08 00:13:39,-10.4544,161.9205,85.62,74,99,6.62
168,Taft,IR,2022-03-08 00:13:39,31.7471,54.2088,50.95,55,99,3.78
169,Pastos Bons,BR,2022-03-08 00:13:40,-6.6017,-44.0767,71.49,96,99,2.15
170,Batemans Bay,AU,2022-03-08 00:13:40,-35.7167,150.1833,72.19,98,100,15.97
171,Kruisfontein,ZA,2022-03-08 00:13:41,-34.0033,24.7314,70.88,91,94,4.07
172,Bjerringbro,DK,2022-03-08 00:13:41,56.378,9.6607,33.84,92,44,6.38
173,Sattahip,TH,2022-03-08 00:13:41,12.6664,100.9007,77.13,83,40,4.61
174,Port Alfred,ZA,2022-03-08 00:09:03,-33.5906,26.891,72.37,88,100,11.18
175,Nouadhibou,MR,2022-03-08 00:13:42,20.931,-17.0347,62.65,78,16,24.34
176,Cocobeach,GA,2022-03-08 00:13:43,1.0002,9.5823,81.25,84,100,3.6
177,Kuytun,RU,2022-03-08 00:13:43,54.3419,101.5036,28.98,98,100,5.23
178,Parkes,AU,2022-03-08 00:13:43,-33.1333,148.1833,67.64,78,95,10.54
179,Yarmouth,US,2022-03-08 00:14:44,41.7057,-70.2286,56.1,93,100,12.66
180,Ambon,ID,2022-03-08 00:14:45,-3.6954,128.1814,84.34,79,20,3.44
181,Khasan,RU,2022-03-08 00:14:45,42.4308,130.6434,33.26,49,35,2.42
182,Almaznyy,RU,2022-03-08 00:14:45,48.0448,40.045,26.74,83,100,3.15
183,Yulara,AU,2022-03-08 00:14:46,-25.2406,130.9889,74.46,29,0,17.81
184,Porto Novo,BJ,2022-03-08 00:14:46,6.4965,2.6036,82.06,77,76,7.61
185,Steamboat Springs,US,2022-03-08 00:10:08,40.485,-106.8317,23.94,69,0,6.91
186,Kasongo-Lunda,CD,2022-03-08 00:14:47,-6.4667,16.8167,69.48,98,100,2.68
187,Kalmunai,LK,2022-03-08 00:14:47,7.4167,81.8167,78.49,80,73,8.08
188,Muros,ES,2022-03-08 00:14:48,42.7762,-9.0603,50.23,91,100,19.62
189,Taoudenni,ML,2022-03-08 00:14:48,22.6783,-3.9836,68.36,19,0,9.24
190,Sabzevar,IR,2022-03-08 00:14:49,36.2126,57.6819,45.63,76,97,12.55
191,Selenginsk,RU,2022-03-08 00:14:49,52.0064,106.8647,9.01,89,35,4.65
192,Dingle,PH,2022-03-08 00:14:50,10.9995,122.6711,79.16,84,96,9.44
193,Naze,JP,2022-03-08 00:14:50,28.3667,129.4833,56.46,63,69,17.81
194,Guabito,PA,2022-03-08 00:14:51,9.5,-82.6167,76.19,82,31,1.66
