City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Cap Malheureux,MU,80.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
452,Trairi,BR,83.01,few clouds,-3.2778,-39.2689,janelas do mar
455,Ongole,IN,78.64,few clouds,15.5,80.05,HOTEL NARAYANA PALACE
463,Arica,CL,78.35,scattered clouds,-18.475,-70.3042,Hostal Jardin Del Sol
465,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
466,Ransang,PH,79.45,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
469,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
483,Maunabo,PR,85.46,clear sky,18.0072,-65.8993,Maunacaribe
492,Tulum,MX,85.23,clear sky,20.2167,-87.4667,Kin Ha Tulum
497,Mafra,BR,78.13,light rain,-26.1114,-49.8053,Hotel Emacite Flex
498,Riachao,BR,80.64,light rain,-7.3619,-46.6172,Pousada Nordestina
499,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
502,Pocone,BR,79.43,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
503,Vredendal,ZA,82.26,scattered clouds,-31.6683,18.5012,Tharrakamma Guest House
506,Biak,ID,76.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
507,Baghmara,IN,78.4,few clouds,23.795,86.2085,Shankar tea shop
512,Tabou,CI,80.89,broken clouds,4.423,-7.3528,hotêl doufoulougou
519,Banfora,BF,89.58,clear sky,10.6333,-4.7667,Residences David Hebié
521,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
525,Port Keats,AU,82.06,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
528,Wukari,NG,85.46,overcast clouds,7.85,9.7833,Elimtop
532,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
534,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
538,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
546,Dicabisagan,PH,77.32,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
549,Bullhead City,US,80.94,overcast clouds,35.1478,-114.5683,Harrah's Laughlin
553,Lenoir,US,80.89,overcast clouds,35.2335,-77.6497,"Holiday Inn Express & Suites Kinston, an IHG Hotel"
554,Belmonte,BR,82.11,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
557,Dzaoudzi,YT,82.29,overcast clouds,-12.7887,45.2699,Le Rocher
559,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
561,Sinnamary,GF,79.0,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
564,Libreville,GA,77.02,thunderstorm,0.3925,9.4537,Le Méridien Re-Ndama
566,Bubaque,GW,76.03,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
567,Akyab,MM,75.36,overcast clouds,20.15,92.9,Hotel Memory
569,Chalisgaon,IN,85.3,scattered clouds,20.4667,75.0167,Shree Datta
571,Ewa Beach,US,79.68,clear sky,21.3156,-158.0072,Base Lodging
576,Paracuru,BR,83.3,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
582,Maragogi,BR,82.53,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
583,Geraldton,AU,75.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
585,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
591,Sibi,PK,87.31,clear sky,29.5448,67.8764,Jail Superintendent House
594,Anito,PH,78.91,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
596,Kerema,PG,77.94,overcast clouds,-7.9631,145.7785,Frena Lodge
597,Ugoofaaru,MV,83.44,clear sky,5.6667,73.0,Ungoofaaru Inn
600,Lazaro Cardenas,MX,85.1,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
602,Celestun,MX,83.48,clear sky,20.8667,-90.4,Posada Lilia
604,Labuhan,ID,76.77,overcast clouds,-6.8844,112.2051,DoubleFAG
605,Buala,SB,81.27,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
610,Dwarka,IN,76.57,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
612,Sachin,IN,83.3,scattered clouds,21.0833,72.8833,Hotel Ashish
614,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
