City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Burnie,AU,-41.0667,145.9167,60.19,82,93,6.89,overcast clouds
111,Novochernorechenskiy,RU,56.2669,91.0828,16.59,93,100,9.55,overcast clouds
112,Mar Del Plata,AR,-38.0023,-57.5575,64.42,77,0,18.99,clear sky
113,Uige,AO,-7.6087,15.0613,66.25,99,89,0.98,light rain
114,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,75,14.97,light snow
115,Koutiala,ML,12.3917,-5.4642,100.67,13,59,3.71,broken clouds
116,Juneau,US,58.3019,-134.4197,42.22,85,75,11.5,broken clouds
117,Bluff,NZ,-46.6,168.3333,47.8,89,38,8.32,scattered clouds
118,Eldorado,BR,-23.7869,-54.2836,85.08,61,99,7.05,overcast clouds
119,Vestmanna,FO,62.1564,-7.1664,45.52,76,76,16.11,broken clouds
120,Lengshuitan,CN,26.4111,111.5956,61.97,79,94,9.15,overcast clouds
121,Kui Buri,TH,12.0828,99.8543,76.6,88,97,5.55,overcast clouds
122,Meadow Lake,US,34.8014,-106.5436,59.61,12,8,4.74,clear sky
123,Sinop,TR,41.7711,34.8709,25.2,96,99,7.0,snow
124,Saint-Pierre,RE,-21.3393,55.4781,80.28,85,75,2.3,broken clouds
125,Ixtapa,MX,20.7,-105.2,74.43,50,0,9.22,clear sky
126,Ancud,CL,-41.8697,-73.8203,65.23,58,100,1.97,overcast clouds
127,Puerto Leguizamo,CO,-0.1934,-74.7819,80.96,88,89,4.54,overcast clouds
128,Port Hedland,AU,-20.3167,118.5667,75.25,94,40,11.5,scattered clouds
129,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,93,100,34.52,moderate rain
130,Mareeba,AU,-17.0,145.4333,74.12,87,89,1.5,overcast clouds
131,Berlevag,NO,70.8578,29.0864,35.28,76,55,32.55,broken clouds
132,Devils Lake,US,48.1128,-98.8651,42.78,75,0,9.22,clear sky
133,Touros,BR,-5.1989,-35.4608,84.18,65,100,15.35,overcast clouds
134,Ucluelet,CA,48.9329,-125.5528,45.09,84,44,4.0,scattered clouds
135,Leningradskiy,RU,69.3833,178.4167,-11.09,74,5,6.58,clear sky
136,Castro,BR,-24.7911,-50.0119,74.16,72,100,4.14,overcast clouds
137,Keuruu,FI,62.2667,24.7,39.38,81,11,9.98,few clouds
138,Saskylakh,RU,71.9167,114.0833,3.33,99,100,3.09,overcast clouds
139,Praia,CV,14.9215,-23.5087,75.74,57,20,21.85,haze
140,Floro,NO,61.5996,5.0328,47.97,66,67,9.22,broken clouds
141,Leshukonskoye,RU,64.8989,45.7622,32.7,94,100,17.0,snow
142,Shahkot,IN,31.0775,75.3372,74.61,33,0,6.35,clear sky
143,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,58,42,13.38,scattered clouds
144,Nouadhibou,MR,20.931,-17.0347,69.78,64,0,23.02,sand
145,Ca Mau,VN,9.1769,105.15,79.66,82,100,3.04,overcast clouds
146,Egvekinot,RU,66.3167,-179.1667,-21.12,79,3,2.35,clear sky
147,Hasaki,JP,35.7333,140.8333,37.8,69,100,6.89,overcast clouds
148,Boyuibe,BO,-20.4167,-63.2833,69.55,65,100,10.85,overcast clouds
149,Llanes,ES,43.4198,-4.7549,58.89,75,27,1.59,scattered clouds
150,Portree,GB,57.4129,-6.1942,57.52,36,48,8.72,scattered clouds
151,Hilo,US,19.7297,-155.09,75.25,85,75,6.91,broken clouds
152,Muli,MV,2.9167,73.5667,83.48,74,24,17.65,few clouds
153,Hofn,IS,64.2539,-15.2082,45.12,90,100,22.44,overcast clouds
154,Tuatapere,NZ,-46.1333,167.6833,50.79,97,48,2.59,scattered clouds
155,Saint George,US,37.1041,-113.5841,59.63,29,0,3.44,clear sky
156,Richards Bay,ZA,-28.783,32.0377,68.22,73,95,5.57,overcast clouds
157,Antofagasta,CL,-23.65,-70.4,73.22,58,30,9.64,scattered clouds
158,Ruston,US,32.5232,-92.6379,66.02,22,0,11.5,clear sky
159,Safranbolu,TR,41.2508,32.6942,24.96,96,100,3.6,snow
160,Fort Nelson,CA,58.8053,-122.7002,29.79,51,40,3.44,scattered clouds
161,Caravelas,BR,-17.7125,-39.2481,82.98,63,0,8.19,clear sky
162,Tumut,AU,-35.3,148.2167,58.26,84,9,2.13,clear sky
163,Nagarote,NI,12.2659,-86.5647,91.08,40,100,16.06,overcast clouds
164,Ponta Delgada,PT,37.7333,-25.6667,58.5,58,40,12.66,scattered clouds
165,Half Moon Bay,US,37.4636,-122.4286,58.62,78,100,4.61,overcast clouds
166,Tahta,EG,26.7693,31.5021,65.7,29,99,13.76,overcast clouds
167,Chapais,CA,49.7834,-74.8492,35.38,78,100,10.71,overcast clouds
168,Show Low,US,34.2542,-110.0298,59.29,13,0,11.5,clear sky
169,Muros,ES,42.7762,-9.0603,61.84,59,100,4.25,overcast clouds
170,Linhares,BR,-19.3911,-40.0722,85.28,58,20,9.19,few clouds
171,Chudniv,UA,50.052,28.1175,29.86,51,0,4.59,clear sky
172,Ahipara,NZ,-35.1667,173.1667,64.81,95,100,17.07,light rain
173,Longyearbyen,SJ,78.2186,15.6401,21.04,79,75,31.07,light snow
174,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,83.41,80,100,0.07,overcast clouds
175,Nome,US,64.5011,-165.4064,3.27,60,40,16.11,scattered clouds
176,Makakilo City,US,21.3469,-158.0858,77.32,68,0,4.61,clear sky
177,Ivrea,IT,45.4672,7.8762,54.05,67,66,3.06,broken clouds
178,Payson,US,40.0444,-111.7321,55.26,34,98,1.99,overcast clouds
179,Knysna,ZA,-34.0363,23.0471,68.14,96,9,3.58,clear sky
180,Shingu,JP,33.7333,135.9833,44.62,81,100,9.31,overcast clouds
181,Yellowknife,CA,62.456,-114.3525,17.29,100,100,4.61,light snow
182,Ajdabiya,LY,30.7554,20.2263,58.69,42,18,27.18,few clouds
183,Yuncheng,CN,35.0231,110.9928,41.65,54,100,3.8,overcast clouds
184,Waingapu,ID,-9.6567,120.2641,77.72,81,100,1.88,overcast clouds
185,Prieska,ZA,-29.6641,22.7474,63.45,79,67,3.33,broken clouds
186,Leland,US,34.2563,-78.0447,82.11,57,40,23.02,scattered clouds
187,Sunland Park,US,31.7965,-106.58,69.91,16,0,4.61,clear sky
188,Bolshoye Murashkino,RU,55.7826,44.7754,18.27,98,42,5.21,scattered clouds
189,Dickinson,US,29.4608,-95.0513,75.09,33,0,11.5,clear sky
190,Galle,LK,6.0367,80.217,78.6,84,91,10.22,overcast clouds
191,Port Elizabeth,ZA,-33.918,25.5701,74.1,91,20,9.22,few clouds
192,Jutai,BR,-5.1833,-68.9,73.74,99,100,3.2,overcast clouds
193,Banda Aceh,ID,5.5577,95.3222,79.59,80,99,14.41,light rain
194,Bajil,YE,15.0584,43.2851,82.74,62,0,1.59,clear sky
195,Livramento,BR,-3.0254,-60.1803,83.07,89,40,5.75,scattered clouds
196,East London,ZA,-33.0153,27.9116,72.54,88,0,4.61,clear sky
197,Clyde River,CA,70.4692,-68.5914,-14.57,70,0,2.3,clear sky
198,General Roca,AR,-39.0333,-67.5833,72.63,28,100,18.9,overcast clouds
199,Hualmay,PE,-11.0964,-77.6139,75.22,71,100,10.92,overcast clouds
200,Manta,EC,-0.95,-80.7333,80.38,83,75,3.44,broken clouds
201,Axim,GH,4.8699,-2.2405,81.07,82,98,7.85,light rain
202,Sitka,US,57.0531,-135.33,39.09,75,100,5.75,overcast clouds
203,Inyonga,TZ,-6.7167,32.0667,66.34,93,100,3.31,overcast clouds
204,Stornoway,GB,58.2093,-6.3865,55.36,48,7,5.75,clear sky
205,Asau,RO,46.4333,26.4,29.95,53,8,4.65,clear sky
206,Ponta Do Sol,PT,32.6667,-17.1,63.01,76,68,16.33,broken clouds
207,Chernyshevskiy,RU,63.0128,112.4714,13.17,94,100,7.96,light snow
208,Adrar,MR,20.5022,-10.0711,77.67,15,6,6.87,clear sky
209,Vila Velha,BR,-20.3297,-40.2925,87.75,72,20,16.11,few clouds
210,Asyut,EG,27.181,31.1837,65.59,29,33,14.25,scattered clouds
211,Talnakh,RU,69.4865,88.3972,3.63,98,100,4.79,overcast clouds
212,Hargeysa,SO,9.56,44.065,67.06,52,6,8.72,clear sky
213,Rio Grande,BR,-32.035,-52.0986,75.31,67,96,17.54,overcast clouds
214,Kalmunai,LK,7.4167,81.8167,76.69,85,61,3.51,broken clouds
215,Goderich,CA,43.7501,-81.7165,43.92,93,100,5.75,overcast clouds
216,Sangar,RU,63.9242,127.4739,-2.92,97,100,5.88,overcast clouds
217,Namibe,AO,-15.1961,12.1522,77.11,63,10,18.48,clear sky
218,Banjar,ID,-8.19,114.9675,77.61,91,100,3.27,overcast clouds
219,Mumford,GH,5.2618,-0.759,81.61,82,14,12.3,few clouds
220,Aiken,US,33.5835,-81.5998,73.69,78,75,20.71,broken clouds
221,Shimoda,JP,34.6667,138.95,46.11,77,8,5.12,clear sky
222,Girona,ES,41.9831,2.8249,53.24,87,100,4.61,overcast clouds
223,Ruidoso,US,33.3317,-105.673,63.05,12,0,4.61,clear sky
224,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.72,86,32,2.08,scattered clouds
225,Qaqortoq,GL,60.7167,-46.0333,16.56,85,72,4.34,broken clouds
226,Puerto Baquerizo Moreno,EC,-0.9,-89.6,83.39,70,75,5.75,broken clouds
227,Turtas,RU,58.9417,69.1325,29.53,95,100,9.4,overcast clouds
228,Turukhansk,RU,65.8167,87.9833,11.86,98,100,5.77,overcast clouds
229,Arlit,NE,18.7369,7.3853,84.65,11,6,3.89,clear sky
230,Zyryanka,RU,65.75,150.85,-17.59,99,50,6.4,scattered clouds
231,Norman Wells,CA,65.282,-126.8329,1.44,78,75,10.36,light snow
232,Verkhoyansk,RU,67.5447,133.385,-21.75,98,33,4.38,scattered clouds
233,Senovo,SI,46.0236,15.4769,47.39,51,0,6.91,clear sky
234,Namatanai,PG,-3.6667,152.4333,79.66,81,82,7.67,broken clouds
235,Ostrovnoy,RU,68.0531,39.5131,34.99,78,87,29.95,overcast clouds
236,Sistranda,NO,63.7256,8.834,42.76,77,11,21.65,few clouds
237,Torbay,CA,47.6666,-52.7314,36.28,61,20,25.32,few clouds
238,Lavrentiya,RU,65.5833,-171.0,-9.63,80,1,6.55,clear sky
239,Hithadhoo,MV,-0.6,73.0833,83.68,71,4,17.0,clear sky
240,Rapar,IN,23.5667,70.6333,77.9,48,3,10.16,clear sky
241,Coquimbo,CL,-29.9533,-71.3436,69.51,63,10,6.33,clear sky
242,Constantine,DZ,36.365,6.6147,49.41,93,75,8.05,light intensity drizzle
243,Hudson Bay,CA,52.85,-102.3842,36.25,92,94,3.44,overcast clouds
244,Nata,PA,8.3333,-80.5167,85.87,40,87,18.99,overcast clouds
245,Kuytun,RU,54.3419,101.5036,13.42,95,100,5.99,overcast clouds
246,Koson,UZ,39.0375,65.585,37.72,68,100,8.88,overcast clouds
247,Naze,JP,28.3667,129.4833,59.92,68,3,13.15,clear sky
248,Margate,GB,51.3813,1.3862,49.1,69,0,7.0,clear sky
249,Nemuro,JP,43.3236,145.575,28.92,82,100,26.66,overcast clouds
250,Praya,CV,14.9215,-23.5087,75.74,57,20,21.85,haze
251,Havoysund,NO,70.9963,24.6622,37.15,72,100,36.64,light rain
252,Luganville,VU,-15.5333,167.1667,78.04,85,100,2.01,moderate rain
253,Minab,IR,27.1467,57.0801,71.51,61,0,3.76,clear sky
254,Chalinze,TZ,-6.6378,38.354,73.74,93,100,3.11,light rain
255,Pipri,IN,19.8,75.5333,82.98,36,94,5.75,overcast clouds
256,Redmond,US,47.674,-122.1215,50.88,87,71,1.99,broken clouds
257,Kalaleh,IR,37.3807,55.4916,49.6,81,100,0.0,overcast clouds
258,Moa,CU,20.6569,-74.9403,82.83,60,0,15.9,clear sky
259,Nanortalik,GL,60.1432,-45.2371,19.63,81,47,11.01,scattered clouds
260,Salta,AR,-24.7859,-65.4117,64.99,72,100,2.3,overcast clouds
261,Strezhevoy,RU,60.7333,77.5889,27.99,93,100,12.86,overcast clouds
262,Raudeberg,NO,61.9875,5.1352,45.86,67,93,18.19,overcast clouds
263,Te Anau,NZ,-45.4167,167.7167,48.31,96,40,0.78,scattered clouds
264,Ahuimanu,US,21.4447,-157.8378,78.51,77,20,5.99,few clouds
265,Blagoyevo,RU,63.3667,47.9167,31.64,83,100,14.52,overcast clouds
266,Mecca,SA,21.4267,39.8261,75.67,56,9,3.06,clear sky
267,Merauke,ID,-8.4667,140.3333,81.09,79,100,2.13,overcast clouds
268,Port Hardy,CA,50.6996,-127.4199,42.98,70,40,6.91,scattered clouds
269,Oda,JP,35.1833,132.5,43.12,72,100,8.19,overcast clouds
270,Mangaratiba,BR,-22.9597,-44.0406,85.06,69,0,6.96,clear sky
271,Roald,NO,62.5833,6.1333,46.54,71,0,10.36,clear sky
272,Zhigansk,RU,66.7697,123.3711,3.22,93,100,25.17,overcast clouds
273,Vyazma,RU,55.2104,34.2951,23.95,91,14,5.3,few clouds
274,Gornopravdinsk,RU,60.05,69.9,31.32,94,100,8.81,overcast clouds
275,Kaniama,CD,-7.5667,24.1833,70.38,81,74,2.95,broken clouds
276,Bonthe,SL,7.5264,-12.505,79.79,69,95,10.07,overcast clouds
277,Santiago De Chuco,PE,-8.15,-78.1833,59.16,74,99,3.62,light rain
278,Saldanha,ZA,-33.0117,17.9442,77.05,87,0,12.55,clear sky
279,Honningsvag,NO,70.9821,25.9704,36.61,74,98,36.6,light rain
280,Suez,EG,29.9737,32.5263,55.49,60,88,20.31,overcast clouds
281,Brae,GB,60.3964,-1.353,45.68,70,100,24.2,overcast clouds
282,Longhua,CN,23.6137,114.1919,70.48,87,3,2.44,clear sky
283,Morondava,MG,-20.2833,44.2833,80.11,82,99,9.01,light rain
284,Quang Ngai,VN,15.1167,108.8,74.62,90,100,4.88,overcast clouds
285,Montepulciano,IT,43.1017,11.7868,47.59,67,91,4.47,overcast clouds
286,Villanueva,HN,15.3167,-88.0,88.79,58,40,3.44,scattered clouds
287,Calbuco,CL,-41.768,-73.1273,55.9,63,100,5.06,overcast clouds
288,Kavieng,PG,-2.5744,150.7967,82.44,72,28,13.76,scattered clouds
289,San Policarpo,PH,12.1791,125.5072,81.01,83,99,9.51,overcast clouds
290,Kahului,US,20.8947,-156.47,77.85,70,40,8.99,scattered clouds
291,Luebo,CD,-5.35,21.4167,75.6,73,31,2.77,scattered clouds
292,North Platte,US,41.1239,-100.7654,62.49,18,0,10.0,clear sky
293,Korla,CN,41.7597,86.1469,48.0,43,100,12.33,overcast clouds
294,Mehamn,NO,71.0357,27.8492,35.08,79,99,33.29,light snow
